nsdId,category,source
3729,face,shared
3842,face,shared
3856,face,shared
3913,face,shared
4423,face,shared
7418,face,shared
8225,face,shared
8807,face,shared
8933,face,shared
9978,face,shared
10046,face,shared
10471,face,shared
10610,face,shared
11521,face,shared
11617,face,shared
13138,face,shared
13613,face,shared
13653,face,shared
14179,face,shared
14820,face,shared
16466,face,shared
17934,face,shared
18268,face,shared
18796,face,shared
19642,face,shared
20265,face,shared
21192,face,shared
21218,face,shared
21950,face,shared
22523,face,shared
22587,face,shared
22886,face,shared
23241,face,shared
23492,face,shared
23729,face,shared
25371,face,shared
26119,face,shared
26243,face,shared
27326,face,shared
27830,face,shared
27972,face,shared
30935,face,shared
30954,face,shared
31659,face,shared
32857,face,shared
33131,face,shared
33906,face,shared
34418,face,shared
34829,face,shared
34874,face,shared
36067,face,shared
36569,face,shared
37494,face,shared
38025,face,shared
38494,face,shared
39841,face,shared
40548,face,shared
42238,face,shared
42912,face,shared
43445,face,shared
43689,face,shared
44736,face,shared
45213,face,shared
46150,face,shared
47321,face,shared
47408,face,shared
47687,face,shared
48393,face,shared
48679,face,shared
49480,face,shared
49622,face,shared
49979,face,shared
50026,face,shared
51148,face,shared
51928,face,shared
53370,face,shared
55107,face,shared
55405,face,shared
56784,face,shared
57435,face,shared
57648,face,shared
58187,face,shared
59284,face,shared
59595,face,shared
59699,face,shared
60305,face,shared
60978,face,shared
61677,face,shared
61748,face,shared
61797,face,shared
64004,face,shared
64880,face,shared
65069,face,shared
66580,face,shared
67295,face,shared
67742,face,shared
70095,face,shared
70505,face,shared
71450,face,shared
72209,face,shared
487,face,subject1
846,face,subject1
2113,face,subject1
3184,face,subject1
3266,face,subject1
4660,face,subject1
5157,face,subject1
5244,face,subject1
7533,face,subject1
8604,face,subject1
8625,face,subject1
8801,face,subject1
9217,face,subject1
12695,face,subject1
16084,face,subject1
18829,face,subject1
19411,face,subject1
19764,face,subject1
19767,face,subject1
20559,face,subject1
21566,face,subject1
21701,face,subject1
21855,face,subject1
22815,face,subject1
22963,face,subject1
24541,face,subject1
25162,face,subject1
25455,face,subject1
26953,face,subject1
26958,face,subject1
27059,face,subject1
27236,face,subject1
31022,face,subject1
31377,face,subject1
32364,face,subject1
34169,face,subject1
34644,face,subject1
35535,face,subject1
35567,face,subject1
35879,face,subject1
36991,face,subject1
37522,face,subject1
37695,face,subject1
39386,face,subject1
39767,face,subject1
40061,face,subject1
40421,face,subject1
40474,face,subject1
40710,face,subject1
41875,face,subject1
42200,face,subject1
42372,face,subject1
42679,face,subject1
42889,face,subject1
42942,face,subject1
43637,face,subject1
43666,face,subject1
44858,face,subject1
45644,face,subject1
45802,face,subject1
45959,face,subject1
46310,face,subject1
46353,face,subject1
48146,face,subject1
49232,face,subject1
49446,face,subject1
49449,face,subject1
49758,face,subject1
52257,face,subject1
52767,face,subject1
52992,face,subject1
54510,face,subject1
54853,face,subject1
55180,face,subject1
55621,face,subject1
55896,face,subject1
56749,face,subject1
57593,face,subject1
58387,face,subject1
58740,face,subject1
59180,face,subject1
60496,face,subject1
61647,face,subject1
62393,face,subject1
63098,face,subject1
63292,face,subject1
66217,face,subject1
66747,face,subject1
67463,face,subject1
67743,face,subject1
69463,face,subject1
69943,face,subject1
71199,face,subject1
71781,face,subject1
71798,face,subject1
72096,face,subject1
72117,face,subject1
72201,face,subject1
72531,face,subject1
72565,face,subject1
310,face,subject2
441,face,subject2
1356,face,subject2
1509,face,subject2
1550,face,subject2
1775,face,subject2
3076,face,subject2
3102,face,subject2
3659,face,subject2
4358,face,subject2
4568,face,subject2
4617,face,subject2
4818,face,subject2
6061,face,subject2
6229,face,subject2
6247,face,subject2
7389,face,subject2
8576,face,subject2
11438,face,subject2
12056,face,subject2
12854,face,subject2
14218,face,subject2
14403,face,subject2
14757,face,subject2
14879,face,subject2
15552,face,subject2
16754,face,subject2
16955,face,subject2
17620,face,subject2
18289,face,subject2
18497,face,subject2
18909,face,subject2
18955,face,subject2
19300,face,subject2
19673,face,subject2
20743,face,subject2
21222,face,subject2
21288,face,subject2
22158,face,subject2
23792,face,subject2
25251,face,subject2
25348,face,subject2
25801,face,subject2
26236,face,subject2
28615,face,subject2
29309,face,subject2
31924,face,subject2
32235,face,subject2
32723,face,subject2
34403,face,subject2
34455,face,subject2
35642,face,subject2
37646,face,subject2
37797,face,subject2
37918,face,subject2
38061,face,subject2
38206,face,subject2
38786,face,subject2
38862,face,subject2
40310,face,subject2
42730,face,subject2
43062,face,subject2
43106,face,subject2
44633,face,subject2
45406,face,subject2
45452,face,subject2
46441,face,subject2
48342,face,subject2
50262,face,subject2
51706,face,subject2
53468,face,subject2
54198,face,subject2
54764,face,subject2
56920,face,subject2
57477,face,subject2
58180,face,subject2
59072,face,subject2
59606,face,subject2
59735,face,subject2
59763,face,subject2
59968,face,subject2
60656,face,subject2
61254,face,subject2
61267,face,subject2
61403,face,subject2
61833,face,subject2
62008,face,subject2
62450,face,subject2
63086,face,subject2
64000,face,subject2
65377,face,subject2
66808,face,subject2
68239,face,subject2
68533,face,subject2
69439,face,subject2
70291,face,subject2
70842,face,subject2
71980,face,subject2
72072,face,subject2
72511,face,subject2
991,face,subject3
1401,face,subject3
1973,face,subject3
2163,face,subject3
2265,face,subject3
3669,face,subject3
3898,face,subject3
4381,face,subject3
4574,face,subject3
5191,face,subject3
5363,face,subject3
6259,face,subject3
8015,face,subject3
9690,face,subject3
9864,face,subject3
10044,face,subject3
10240,face,subject3
12169,face,subject3
12280,face,subject3
12301,face,subject3
12844,face,subject3
13365,face,subject3
13494,face,subject3
14153,face,subject3
16657,face,subject3
16958,face,subject3
19327,face,subject3
19563,face,subject3
21599,face,subject3
23816,face,subject3
24229,face,subject3
24465,face,subject3
25232,face,subject3
25264,face,subject3
25825,face,subject3
25905,face,subject3
27493,face,subject3
30502,face,subject3
31036,face,subject3
31303,face,subject3
31458,face,subject3
34314,face,subject3
34688,face,subject3
35170,face,subject3
36163,face,subject3
37023,face,subject3
37611,face,subject3
37882,face,subject3
39180,face,subject3
40286,face,subject3
40443,face,subject3
40826,face,subject3
41150,face,subject3
41724,face,subject3
42609,face,subject3
42981,face,subject3
43158,face,subject3
43306,face,subject3
44154,face,subject3
44450,face,subject3
45491,face,subject3
45685,face,subject3
45908,face,subject3
46581,face,subject3
46825,face,subject3
46919,face,subject3
47126,face,subject3
47250,face,subject3
47579,face,subject3
47626,face,subject3
48266,face,subject3
49031,face,subject3
49097,face,subject3
49443,face,subject3
51079,face,subject3
52805,face,subject3
54097,face,subject3
54474,face,subject3
55403,face,subject3
55471,face,subject3
56383,face,subject3
58005,face,subject3
58574,face,subject3
59111,face,subject3
60700,face,subject3
61158,face,subject3
61563,face,subject3
62773,face,subject3
62795,face,subject3
63068,face,subject3
65243,face,subject3
65272,face,subject3
65643,face,subject3
66144,face,subject3
66775,face,subject3
66970,face,subject3
69466,face,subject3
70407,face,subject3
70421,face,subject3
70996,face,subject3
53,face,subject4
130,face,subject4
1073,face,subject4
1600,face,subject4
1683,face,subject4
2400,face,subject4
3331,face,subject4
3360,face,subject4
3989,face,subject4
5150,face,subject4
6322,face,subject4
6563,face,subject4
8433,face,subject4
9195,face,subject4
10956,face,subject4
11201,face,subject4
11839,face,subject4
14876,face,subject4
15046,face,subject4
16283,face,subject4
16887,face,subject4
16953,face,subject4
17499,face,subject4
17804,face,subject4
19540,face,subject4
20329,face,subject4
20539,face,subject4
20618,face,subject4
21310,face,subject4
21535,face,subject4
21610,face,subject4
22776,face,subject4
22824,face,subject4
24147,face,subject4
24400,face,subject4
25726,face,subject4
25849,face,subject4
27675,face,subject4
27706,face,subject4
28530,face,subject4
28759,face,subject4
29185,face,subject4
29981,face,subject4
30383,face,subject4
30837,face,subject4
30842,face,subject4
31663,face,subject4
32214,face,subject4
33100,face,subject4
35242,face,subject4
35402,face,subject4
36032,face,subject4
36977,face,subject4
38699,face,subject4
39333,face,subject4
39628,face,subject4
39816,face,subject4
40291,face,subject4
40493,face,subject4
41567,face,subject4
42289,face,subject4
43377,face,subject4
43549,face,subject4
43780,face,subject4
43988,face,subject4
44262,face,subject4
45473,face,subject4
45814,face,subject4
46817,face,subject4
48671,face,subject4
49401,face,subject4
49599,face,subject4
50544,face,subject4
51070,face,subject4
51455,face,subject4
51512,face,subject4
51587,face,subject4
51774,face,subject4
53497,face,subject4
53643,face,subject4
54757,face,subject4
54792,face,subject4
54840,face,subject4
55470,face,subject4
55737,face,subject4
55784,face,subject4
57099,face,subject4
59384,face,subject4
59434,face,subject4
60470,face,subject4
60727,face,subject4
61938,face,subject4
64061,face,subject4
67165,face,subject4
67352,face,subject4
67785,face,subject4
67948,face,subject4
68393,face,subject4
68579,face,subject4
69179,face,subject4
258,face,subject5
1953,face,subject5
3133,face,subject5
3440,face,subject5
3616,face,subject5
3799,face,subject5
3979,face,subject5
4117,face,subject5
4610,face,subject5
5815,face,subject5
6460,face,subject5
6932,face,subject5
8027,face,subject5
8760,face,subject5
8963,face,subject5
12913,face,subject5
13569,face,subject5
13637,face,subject5
15924,face,subject5
16182,face,subject5
18751,face,subject5
20190,face,subject5
20205,face,subject5
21242,face,subject5
21476,face,subject5
23042,face,subject5
23082,face,subject5
23219,face,subject5
24040,face,subject5
25297,face,subject5
25654,face,subject5
27056,face,subject5
27469,face,subject5
27730,face,subject5
27796,face,subject5
28606,face,subject5
29327,face,subject5
29450,face,subject5
29520,face,subject5
29580,face,subject5
29638,face,subject5
30156,face,subject5
30290,face,subject5
30609,face,subject5
31151,face,subject5
31231,face,subject5
33079,face,subject5
33440,face,subject5
33961,face,subject5
36925,face,subject5
37562,face,subject5
39900,face,subject5
40502,face,subject5
40803,face,subject5
41401,face,subject5
43073,face,subject5
44530,face,subject5
47049,face,subject5
47644,face,subject5
47963,face,subject5
48291,face,subject5
49509,face,subject5
49536,face,subject5
49680,face,subject5
50187,face,subject5
50543,face,subject5
51966,face,subject5
54684,face,subject5
55801,face,subject5
55851,face,subject5
56224,face,subject5
56533,face,subject5
58547,face,subject5
61599,face,subject5
61715,face,subject5
62118,face,subject5
62884,face,subject5
63181,face,subject5
63279,face,subject5
63481,face,subject5
63627,face,subject5
64091,face,subject5
64258,face,subject5
64338,face,subject5
64548,face,subject5
64897,face,subject5
65193,face,subject5
65311,face,subject5
65411,face,subject5
65754,face,subject5
66652,face,subject5
67313,face,subject5
67967,face,subject5
68410,face,subject5
69830,face,subject5
70128,face,subject5
70282,face,subject5
70832,face,subject5
71675,face,subject5
72119,face,subject5
274,face,subject6
1810,face,subject6
1952,face,subject6
2732,face,subject6
3378,face,subject6
3540,face,subject6
4301,face,subject6
4821,face,subject6
5138,face,subject6
5559,face,subject6
5780,face,subject6
7469,face,subject6
7512,face,subject6
8078,face,subject6
8919,face,subject6
9585,face,subject6
10671,face,subject6
11435,face,subject6
11697,face,subject6
12211,face,subject6
12728,face,subject6
17971,face,subject6
18290,face,subject6
19223,face,subject6
19377,face,subject6
19755,face,subject6
20437,face,subject6
21590,face,subject6
21803,face,subject6
22409,face,subject6
24263,face,subject6
24460,face,subject6
24996,face,subject6
25006,face,subject6
25990,face,subject6
26132,face,subject6
26599,face,subject6
26811,face,subject6
26813,face,subject6
27396,face,subject6
27780,face,subject6
28251,face,subject6
28624,face,subject6
29112,face,subject6
29153,face,subject6
29659,face,subject6
31074,face,subject6
32874,face,subject6
33215,face,subject6
33269,face,subject6
33415,face,subject6
33896,face,subject6
35130,face,subject6
35831,face,subject6
36108,face,subject6
37885,face,subject6
39829,face,subject6
40607,face,subject6
41541,face,subject6
42368,face,subject6
42780,face,subject6
43844,face,subject6
46377,face,subject6
47003,face,subject6
47817,face,subject6
51534,face,subject6
52915,face,subject6
52923,face,subject6
53218,face,subject6
54697,face,subject6
55033,face,subject6
56666,face,subject6
57717,face,subject6
57745,face,subject6
58320,face,subject6
58348,face,subject6
58903,face,subject6
59007,face,subject6
59299,face,subject6
61175,face,subject6
61673,face,subject6
62102,face,subject6
62507,face,subject6
62535,face,subject6
62608,face,subject6
62870,face,subject6
64204,face,subject6
64339,face,subject6
65190,face,subject6
65266,face,subject6
65594,face,subject6
66824,face,subject6
66887,face,subject6
67199,face,subject6
67426,face,subject6
68681,face,subject6
68871,face,subject6
70596,face,subject6
72239,face,subject6
72731,face,subject6
1484,face,subject7
2022,face,subject7
2498,face,subject7
5747,face,subject7
6200,face,subject7
8405,face,subject7
10888,face,subject7
11621,face,subject7
12117,face,subject7
13575,face,subject7
13736,face,subject7
14601,face,subject7
15490,face,subject7
15666,face,subject7
16817,face,subject7
18236,face,subject7
18941,face,subject7
20045,face,subject7
20755,face,subject7
21357,face,subject7
21505,face,subject7
21779,face,subject7
21979,face,subject7
22792,face,subject7
22931,face,subject7
23140,face,subject7
23227,face,subject7
24705,face,subject7
25655,face,subject7
25815,face,subject7
26870,face,subject7
27108,face,subject7
27990,face,subject7
28320,face,subject7
29725,face,subject7
29996,face,subject7
30569,face,subject7
31209,face,subject7
31746,face,subject7
33230,face,subject7
33953,face,subject7
34155,face,subject7
35295,face,subject7
35987,face,subject7
36825,face,subject7
40128,face,subject7
40461,face,subject7
40932,face,subject7
41774,face,subject7
42410,face,subject7
43140,face,subject7
43764,face,subject7
44117,face,subject7
44421,face,subject7
44716,face,subject7
44907,face,subject7
45251,face,subject7
45763,face,subject7
46379,face,subject7
47348,face,subject7
48582,face,subject7
49040,face,subject7
49116,face,subject7
50403,face,subject7
51400,face,subject7
51452,face,subject7
51835,face,subject7
51927,face,subject7
52948,face,subject7
53746,face,subject7
54273,face,subject7
56145,face,subject7
56712,face,subject7
57280,face,subject7
57955,face,subject7
58651,face,subject7
59363,face,subject7
59637,face,subject7
59834,face,subject7
59877,face,subject7
60260,face,subject7
60934,face,subject7
61744,face,subject7
62266,face,subject7
62553,face,subject7
63431,face,subject7
63650,face,subject7
64566,face,subject7
65749,face,subject7
66659,face,subject7
66660,face,subject7
67387,face,subject7
67830,face,subject7
67892,face,subject7
69035,face,subject7
